               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,           0.0080928,           0.0040311,            0.011316,             0.98944,              0.9802,             0.99341,             0.98983,           0.0036319,           0.0018335,           0.0024849,            0.001882,            0.001882,            0.001882
                  84,           0.0080302,           0.0040944,            0.011767,             0.99213,             0.97904,             0.99379,             0.99057,           0.0036099,           0.0018233,           0.0024157,            0.001783,            0.001783,            0.001783
                  85,           0.0077783,           0.0039828,            0.011367,             0.98525,             0.98623,             0.99386,             0.99015,           0.0035901,           0.0018132,           0.0024207,            0.001684,            0.001684,            0.001684
                  86,           0.0077124,           0.0039463,            0.011299,             0.98644,             0.98806,             0.99419,             0.99075,           0.0035754,           0.0018041,           0.0024135,            0.001585,            0.001585,            0.001585
                  87,           0.0076428,           0.0038942,            0.011123,             0.98659,             0.99016,             0.99437,             0.99129,           0.0035697,           0.0017896,           0.0023724,            0.001486,            0.001486,            0.001486
                  88,           0.0075166,           0.0039593,            0.011323,             0.99459,              0.9835,             0.99446,             0.99145,           0.0035612,           0.0017757,           0.0023691,            0.001387,            0.001387,            0.001387
                  89,           0.0075444,           0.0039031,            0.011218,             0.99344,             0.98333,             0.99445,             0.99142,           0.0035547,           0.0017667,           0.0023826,            0.001288,            0.001288,            0.001288
                  90,           0.0073404,           0.0038669,            0.011043,              0.9934,             0.98251,             0.99445,             0.99151,           0.0035395,           0.0017579,           0.0023802,            0.001189,            0.001189,            0.001189
                  91,           0.0072458,           0.0038342,            0.010825,              0.9933,             0.98257,             0.99445,             0.99144,           0.0035265,           0.0017487,           0.0023783,             0.00109,             0.00109,             0.00109
                  92,            0.007033,           0.0037368,            0.010618,             0.99274,             0.98501,             0.99445,             0.99138,           0.0035116,           0.0017402,           0.0023963,            0.000991,            0.000991,            0.000991
                  93,           0.0070056,           0.0037463,            0.010383,             0.99262,             0.98487,             0.99446,             0.99149,           0.0035017,           0.0017343,           0.0023859,            0.000892,            0.000892,            0.000892
                  94,           0.0068609,           0.0036925,            0.010346,             0.99234,             0.98515,             0.99452,             0.99184,           0.0034901,           0.0017291,           0.0023581,            0.000793,            0.000793,            0.000793
                  95,           0.0067375,           0.0036274,            0.010399,             0.99219,             0.98511,             0.99456,             0.99197,           0.0034837,           0.0017239,           0.0023478,            0.000694,            0.000694,            0.000694
                  96,           0.0066903,           0.0036321,            0.010316,             0.99256,             0.98737,             0.99461,             0.99195,           0.0034745,           0.0017182,           0.0023131,            0.000595,            0.000595,            0.000595
                  97,           0.0065864,           0.0036109,            0.010151,             0.99263,             0.98783,             0.99461,             0.99192,           0.0034696,           0.0017146,           0.0022998,            0.000496,            0.000496,            0.000496
                  98,           0.0064955,            0.003591,           0.0099217,             0.99197,             0.98802,              0.9947,             0.99199,           0.0034631,            0.001711,           0.0023012,            0.000397,            0.000397,            0.000397
                  99,            0.006366,           0.0035277,           0.0098119,             0.99195,              0.9878,             0.99469,             0.99211,           0.0034583,           0.0017066,           0.0022824,            0.000298,            0.000298,            0.000298
